"","X","group","agent","trial","round","scaling","isRandom","reward","payoff","rescaled","env","soc_sd","soc_rew","prev_rew","RT_server","soc_choice","social"
"961",961,6,1,0,0,72,1,0.3998,40,34,10,NA,NA,NA,NA,3,0
"962",962,6,1,0,0,72,1,0.3998,40,34,10,NA,NA,NA,NA,NA,1
"963",963,6,1,0,0,72,1,0.3998,40,34,10,NA,NA,NA,NA,NA,1
"964",964,6,1,0,0,72,1,0.3998,40,34,10,NA,NA,NA,NA,NA,1
"965",965,6,1,1,0,72,0,0.2615,26,24,10,6.40312423743285,0.3998,0.3998,4073,62,0
"966",966,6,1,1,0,72,0,0.2615,26,24,10,7.07106781186548,0.4034,0.3998,4073,44,1
"967",967,6,1,1,0,72,0,0.2615,26,24,10,2,0.4606,0.3998,4073,60,1
"968",968,6,1,1,0,72,0,0.2615,26,24,10,4.12310562561766,0.0414,0.3998,4073,107,1
"969",969,6,1,2,0,72,0,0.1631,16,17,10,1.4142135623731,0.2615,0.2615,10119,74,0
"970",970,6,1,2,0,72,0,0.1631,16,17,10,8.24621125123532,0.4034,0.2615,10119,44,1
"971",971,6,1,2,0,72,0,0.1631,16,17,10,4.47213595499958,0.7126,0.2615,10119,28,1
"972",972,6,1,2,0,72,0,0.1631,16,17,10,4.47213595499958,0.4599,0.2615,10119,48,1
"973",973,6,1,3,0,72,0,0.1913,19,19,10,5.3851648071345,0.1631,0.1631,5341,91,0
"974",974,6,1,3,0,72,0,0.1913,19,19,10,5,0.4034,0.1631,5341,44,1
"975",975,6,1,3,0,72,0,0.1913,19,19,10,7.21110255092798,0.8631,0.1631,5341,29,1
"976",976,6,1,3,0,72,0,0.1913,19,19,10,3,0.1497,0.1631,5341,58,1
"977",977,6,1,4,0,72,0,0.4465,46,38,10,6.32455532033676,0.1913,0.1913,6285,23,0
"978",978,6,1,4,0,72,0,0.4465,46,38,10,3.16227766016838,0.6296,0.1913,6285,37,1
"979",979,6,1,4,0,72,0,0.4465,46,38,10,7,0.9246,0.1913,6285,30,1
"980",980,6,1,4,0,72,0,0.4465,46,38,10,4.12310562561766,0.6858,0.1913,6285,38,1
"981",981,6,1,5,0,72,0,0.6676,67,53,10,1.4142135623731,0.4465,0.4465,4436,11,0
"982",982,6,1,5,0,72,0,0.6676,67,53,10,5,0.4031,0.4465,4436,48,1
"983",983,6,1,5,0,72,0,0.6676,67,53,10,8,0.83,0.4465,4436,19,1
"984",984,6,1,5,0,72,0,0.6676,67,53,10,6.32455532033676,0.7577,0.4465,4436,39,1
"985",985,6,1,6,0,72,0,0.6988,69,55,10,1,0.6676,0.6676,5653,0,0
"986",986,6,1,6,0,72,0,0.6988,69,55,10,5.8309518948453,0.742,0.6676,5653,38,1
"987",987,6,1,6,0,72,0,0.6988,69,55,10,8.54400374531753,0.9275,0.6676,5653,41,1
"988",988,6,1,6,0,72,0,0.6988,69,55,10,7.61577310586391,0.7271,0.6676,5653,40,1
"989",989,6,1,7,0,72,0,0.4513,45,37,10,1,0.6988,0.6988,3079,1,0
"990",990,6,1,7,0,72,0,0.4513,45,37,10,5.8309518948453,0.7863,0.6988,3079,39,1
"991",991,6,1,7,0,72,0,0.4513,45,37,10,8.24621125123532,0.9354,0.6988,3079,31,1
"992",992,6,1,7,0,72,0,0.4513,45,37,10,6.40312423743285,0.7642,0.6988,3079,50,1
"993",993,6,1,8,0,72,0,0.6053,59,47,10,2.23606797749979,0.4513,0.4513,3605,22,0
"994",994,6,1,8,0,72,0,0.6053,59,47,10,6.32455532033676,0.6801,0.4513,3605,50,1
"995",995,6,1,8,0,72,0,0.6053,59,47,10,9.05538513813742,0.9368,0.4513,3605,42,1
"996",996,6,1,8,0,72,0,0.6053,59,47,10,6,0.7071,0.4513,3605,28,1
"997",997,6,1,9,0,72,0,0.4834,50,41,10,1.4142135623731,0.6053,0.6053,3758,12,0
"998",998,6,1,9,0,72,0,0.4834,50,41,10,5.09901951359278,0.7537,0.6053,3758,28,1
"999",999,6,1,9,0,72,0,0.4834,50,41,10,9.48683298050514,0.7147,0.6053,3758,54,1
"1000",1000,6,1,9,0,72,0,0.4834,50,41,10,6.70820393249937,0.6594,0.6053,3758,51,1
