"","X","group","agent","trial","round","scaling","choice","isRandom","reward","payoff","rescaled","env","search_dist","soc_sd1","soc_sd2","soc_sd3","soc_sd","soc_rew1","soc_rew2","soc_rew3","soc_rew","prev_rew","RT_server","soc_choice1","soc_choice2","soc_choice3"
"241",241,6,1,0,0,72,3,1,0.3998,40,34,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",242,6,1,1,0,72,62,0,0.2615,26,24,10,6.40312423743285,7.07106781186548,2,4.12310562561766,4.39805781249438,0.4034,0.4606,0.0414,0.3018,0.3998,4073,44,60,107
"243",243,6,1,2,0,72,74,0,0.1631,16,17,10,1.4142135623731,8.24621125123532,4.47213595499958,4.47213595499958,5.73016105374483,0.4034,0.7126,0.4599,0.5253,0.2615,10119,44,28,48
"244",244,6,1,3,0,72,91,0,0.1913,19,19,10,5.3851648071345,5,7.21110255092798,3,5.07036751697599,0.4034,0.8631,0.1497,0.472066666666667,0.1631,5341,44,29,58
"245",245,6,1,4,0,72,23,0,0.4465,46,38,10,6.32455532033676,3.16227766016838,7,4.12310562561766,4.76179442859535,0.6296,0.9246,0.6858,0.746666666666667,0.1913,6285,37,30,38
"246",246,6,1,5,0,72,11,0,0.6676,67,53,10,1.4142135623731,5,8,6.32455532033676,6.44151844011225,0.4031,0.83,0.7577,0.6636,0.4465,4436,48,19,39
"247",247,6,1,6,0,72,0,0,0.6988,69,55,10,1,5.8309518948453,8.54400374531753,7.61577310586391,7.33024291534225,0.742,0.9275,0.7271,0.798866666666667,0.6676,5653,38,41,40
"248",248,6,1,7,0,72,1,0,0.4513,45,37,10,1,5.8309518948453,8.24621125123532,6.40312423743285,6.82676246117116,0.7863,0.9354,0.7642,0.828633333333333,0.6988,3079,39,31,50
"249",249,6,1,8,0,72,22,0,0.6053,59,47,10,2.23606797749979,6.32455532033676,9.05538513813742,6,7.12664681949139,0.6801,0.9368,0.7071,0.774666666666667,0.4513,3605,50,42,28
"250",250,6,1,9,0,72,12,0,0.4834,50,41,10,1.4142135623731,5.09901951359278,9.48683298050514,6.70820393249937,7.09801880886576,0.7537,0.7147,0.6594,0.709266666666667,0.6053,3758,28,54,51
"251",251,6,1,10,0,72,36,0,0.217,23,22,10,2.82842712474619,2.23606797749979,6.08276253029822,3.60555127546399,3.974793927754,0.7886,0.8316,0.6955,0.7719,0.4834,4603,27,53,61
"252",252,6,1,11,0,72,55,0,0.5072,51,42,10,3.60555127546399,7.61577310586391,10.1980390271856,5.09901951359278,7.63761054888075,0.7467,0.8615,0.7229,0.777033333333333,0.217,5021,29,43,49
"253",253,6,1,12,0,72,44,0,0.5124,50,41,10,1,5.8309518948453,10.1980390271856,5.09901951359278,7.04267014520789,0.6519,0.9417,0.702,0.7652,0.5072,4015,16,32,60
"254",254,6,1,13,0,72,30,0,0.92,93,72,10,8.24621125123532,2.23606797749979,2.23606797749979,1,1.82404531833319,0.5866,0.9832,0.7362,0.768666666666667,0.5124,4132,17,21,29
"255",255,6,1,14,0,72,31,0,0.8555,84,65,10,1,1.4142135623731,2.23606797749979,1,1.55009384662429,0.9312,1,0.804,0.911733333333333,0.92,3867,41,10,30
"256",256,6,1,0,1,68,8,1,0.158,17,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",257,6,1,1,1,68,89,0,0.5775,58,44,18,10.6301458127346,7.28010988928052,8.24621125123532,3,6.17544038017195,0.7607,0.0792,0.6419,0.493933333333333,0.158,3404,118,3,56
