,agent,group,model,AS_fit,DB_fit,VS_fit,SG_fit
0,0.0,0.0,DB,,,,
15,1.0,0.0,DB,,,,
30,2.0,0.0,DB,,,,
45,3.0,0.0,DB,,,,
480,0.0,1.0,VS,,,,
495,1.0,1.0,SG,,,,
510,2.0,1.0,DB,,,,
525,3.0,1.0,SG,,,,
960,0.0,2.0,VS,,,,
975,1.0,2.0,VS,,,,
990,2.0,2.0,VS,,,,
1005,3.0,2.0,DB,,,,
1440,0.0,3.0,VS,,,,
1455,1.0,3.0,AS,,,,
1470,2.0,3.0,AS,,,,
1485,3.0,3.0,SG,,,,
1920,0.0,4.0,VS,,,,
1935,1.0,4.0,DB,,,,
1950,2.0,4.0,DB,,,,
1965,3.0,4.0,SG,,,,
2400,0.0,5.0,AS,,,,
2415,1.0,5.0,AS,,,,
2430,2.0,5.0,DB,,,,
2445,3.0,5.0,VS,,,,
2880,0.0,6.0,AS,,,,
2895,1.0,6.0,AS,,,,
2910,2.0,6.0,SG,,,,
2925,3.0,6.0,SG,,,,
3360,0.0,7.0,SG,,,,
3375,1.0,7.0,DB,,,,
3390,2.0,7.0,AS,,,,
3405,3.0,7.0,SG,,,,
3840,0.0,8.0,VS,,,,
3855,1.0,8.0,VS,,,,
3870,2.0,8.0,SG,,,,
3885,3.0,8.0,AS,,,,
4320,0.0,9.0,VS,,,,
4335,1.0,9.0,SG,,,,
4350,2.0,9.0,VS,,,,
4365,3.0,9.0,SG,,,,
4800,0.0,10.0,DB,,,,
4815,1.0,10.0,SG,,,,
4830,2.0,10.0,AS,,,,
4845,3.0,10.0,AS,,,,
5280,0.0,11.0,VS,,,,
5295,1.0,11.0,VS,,,,
5310,2.0,11.0,AS,,,,
5325,3.0,11.0,SG,,,,
5760,0.0,12.0,SG,,,,
5775,1.0,12.0,SG,,,,
5790,2.0,12.0,SG,,,,
5805,3.0,12.0,DB,,,,
6240,0.0,13.0,DB,,,,
6255,1.0,13.0,DB,,,,
6270,2.0,13.0,AS,,,,
6285,3.0,13.0,SG,,,,
6720,0.0,14.0,SG,,,,
6735,1.0,14.0,DB,,,,
6750,2.0,14.0,VS,,,,
6765,3.0,14.0,SG,,,,
7200,0.0,15.0,VS,,,,
7215,1.0,15.0,DB,,,,
7230,2.0,15.0,DB,,,,
7245,3.0,15.0,AS,,,,
7680,0.0,16.0,AS,,,,
7695,1.0,16.0,DB,,,,
7710,2.0,16.0,SG,,,,
7725,3.0,16.0,DB,,,,
8160,0.0,17.0,SG,,,,
8175,1.0,17.0,SG,,,,
8190,2.0,17.0,AS,,,,
8205,3.0,17.0,DB,,,,
8640,0.0,18.0,DB,,,,
8655,1.0,18.0,DB,,,,
8670,2.0,18.0,VS,,,,
8685,3.0,18.0,AS,,,,
9120,0.0,19.0,DB,,,,
9135,1.0,19.0,DB,,,,
9150,2.0,19.0,SG,,,,
9165,3.0,19.0,VS,,,,
9600,0.0,20.0,VS,,,,
9615,1.0,20.0,SG,,,,
9630,2.0,20.0,AS,,,,
9645,3.0,20.0,AS,,,,
10080,0.0,21.0,VS,,,,
10095,1.0,21.0,SG,,,,
10110,2.0,21.0,DB,,,,
10125,3.0,21.0,VS,,,,
10560,0.0,22.0,AS,,,,
10575,1.0,22.0,AS,,,,
